gamma,Vinf,c_num,A_num,E_pi2,E_pi2_over_4
50,0.1,1.806168,2.9663907,0.45107475,0.032605339
100,0.1,1.8181246,3.857139,0.28350533,0.065530206
200,0.1,1.8347519,4.6388717,0.18633163,0.077353153
500,0.1,1.8574933,5.5038003,0.1130412,0.0786197
1000,0.1,1.8734074,6.0406299,0.080243265,0.074883638
3000,0.1,1.8952504,6.7146527,0.049217739,0.06625779
5000,0.1,1.9039754,6.9658727,0.040027963,0.062011464
8000,0.1,1.9112619,7.1673463,0.033456332,0.058189455
10000,0.1,1.9144923,7.2536496,0.030837479,0.056421404
50,0.3,1.5961562,6.1803952,0.24106296,0.24261713
100,0.3,1.6547605,7.3216996,0.12014116,0.22889437
200,0.3,1.7059012,8.2559896,0.057480948,0.20620384
500,0.3,1.7618053,9.1994035,0.017353118,0.17430778
1000,0.3,1.7962158,9.7239871,0.0030516815,0.15207522
3000,0.3,1.839347,10.298167,0.0066856459,0.12216117
5000,0.3,1.8555183,10.481075,0.0084291293,0.11046856
8000,0.3,1.8686118,10.612183,0.0091937809,0.10083957
10000,0.3,1.8742996,10.663208,0.0093551847,0.096614068
50,0.6,1.4247768,8.8031714,0.06968363,0.41399646
100,0.6,1.5183748,10.21411,0.01624445,0.36527998
200,0.6,1.5971662,11.308418,0.051254098,0.31493888
500,0.6,1.680943,12.322414,0.06350916,0.25517006
1000,0.6,1.73123,12.824922,0.061934169,0.21706107
3000,0.6,1.7928432,13.279146,0.053189378,0.16866491
5000,0.6,1.8154944,13.384511,0.048453019,0.15049245
8000,0.6,1.8336291,13.437731,0.044176549,0.13582234
10000,0.6,1.8414393,13.45076,0.042215486,0.12947437
