test,setting,T_over_T0,L,T,nx,dx,dt,c_num,A_num
final time,1T,1,1023.302720426359,368.3889793534892,5117,0.2,0.02,1.8233951227343477,11.320712001662221
final time,2T,2,1944.275168810082,736.7779587069784,9722,0.2,0.02,1.8233955107136766,11.320687131441687
final time,4T,4,3786.2200655775277,1473.5559174139569,18932,0.2,0.02,1.8233953640175238,11.320696534946977
spatial grid,dx=0.4,1,1023.302720426359,368.3889793534892,2559,0.4,0.02,1.8294688305168747,10.931375661393346
spatial grid,dx=0.2,1,1023.302720426359,368.3889793534892,5117,0.2,0.02,1.8233951227343477,11.320712001662221
spatial grid,dx=0.1,1,1023.302720426359,368.3889793534892,10234,0.1,0.02,1.8218602101552739,11.419102847512335
time step,dt=0.04,1,1023.302720426359,368.3889793534892,5117,0.2,0.04,1.8078671659800425,12.316083868574662
time step,dt=0.02,1,1023.302720426359,368.3889793534892,5117,0.2,0.02,1.8233951227343477,11.320712001662221
time step,dt=0.01,1,1023.302720426359,368.3889793534892,5117,0.2,0.01,1.8313710525349147,10.809439574673277
time step,dt=0.005,1,1023.302720426359,368.3889793534892,5117,0.2,0.005,1.835413396525206,10.55031755701291
